V4_0,Time_codelist,Time,Geography_codelist,Geography,Tenure_codelist,Tenure
63.26909279829791,Deccenial,2011,J01000001,,,Households owned
13.460824818782315,Deccenial,2011,J01000001,,,Households privately renting
21.16226713836867,Deccenial,2011,J01000001,,,Households socially renting
2.1078152445510994,Deccenial,2011,J01000001,,,Other households
55.221409232283904,Deccenial,2011,J01000002,,,Households owned
11.26401288850104,Deccenial,2011,J01000002,,,Households privately renting
31.16511154371126,Deccenial,2011,J01000002,,,Households socially renting
2.349466335503793,Deccenial,2011,J01000002,,,Other households
64.25403543528671,Deccenial,2011,J01000003,,,Households owned
12.3798374569441,Deccenial,2011,J01000003,,,Households privately renting
20.936986424728158,Deccenial,2011,J01000003,,,Households socially renting
2.429140683041041,Deccenial,2011,J01000003,,,Other households
58.64240380801269,Deccenial,2011,J01000004,,,Households owned
22.498512495041652,Deccenial,2011,J01000004,,,Households privately renting
16.977389924633083,Deccenial,2011,J01000004,,,Households socially renting
1.8816937723125742,Deccenial,2011,J01000004,,,Other households
58.39494026704146,Deccenial,2011,J01000005,,,Households owned
20.244553759662683,Deccenial,2011,J01000005,,,Households privately renting
19.246661981728742,Deccenial,2011,J01000005,,,Households socially renting
2.1138439915671117,Deccenial,2011,J01000005,,,Other households
52.772222777722234,Deccenial,2011,J01000006,,,Households owned
20.5004499550045,Deccenial,2011,J01000006,,,Households privately renting
24.835016498350164,Deccenial,2011,J01000006,,,Households socially renting
1.8923107689231076,Deccenial,2011,J01000006,,,Other households
54.01220772354793,Deccenial,2011,J01000007,,,Households owned
17.557974671376734,Deccenial,2011,J01000007,,,Households privately renting
25.735226972340374,Deccenial,2011,J01000007,,,Households socially renting
2.6945906327349625,Deccenial,2011,J01000007,,,Other households
63.511292247416186,Deccenial,2011,J01000008,,,Households owned
14.46488482583144,Deccenial,2011,J01000008,,,Households privately renting
19.891468329918265,Deccenial,2011,J01000008,,,Households socially renting
2.1323545968341175,Deccenial,2011,J01000008,,,Other households
62.07770522109909,Deccenial,2011,J01000009,,,Households owned
25.94298834123505,Deccenial,2011,J01000009,,,Households privately renting
10.512270030115992,Deccenial,2011,J01000009,,,Households socially renting
1.4670364075498703,Deccenial,2011,J01000009,,,Other households
60.58792119832505,Deccenial,2011,J01000010,,,Households owned
14.810443189163363,Deccenial,2011,J01000010,,,Households privately renting
22.31683669167861,Deccenial,2011,J01000010,,,Households socially renting
2.284798920832982,Deccenial,2011,J01000010,,,Other households
57.598695564204185,Deccenial,2011,J01000011,,,Households owned
29.56165720474643,Deccenial,2011,J01000011,,,Households privately renting
11.117458730555455,Deccenial,2011,J01000011,,,Households socially renting
1.7221885004939244,Deccenial,2011,J01000011,,,Other households
64.6779155402256,Deccenial,2011,J01000012,,,Households owned
12.35200894938007,Deccenial,2011,J01000012,,,Households privately renting
20.773127000403964,Deccenial,2011,J01000012,,,Households socially renting
2.1969485099903667,Deccenial,2011,J01000012,,,Other households
60.5116560207799,Deccenial,2011,J01000013,,,Households owned
19.906719160962542,Deccenial,2011,J01000013,,,Households privately renting
17.422769673108654,Deccenial,2011,J01000013,,,Households socially renting
2.158855145148906,Deccenial,2011,J01000013,,,Other households
50.1981644717365,Deccenial,2011,J01000014,,,Households owned
32.450267880165406,Deccenial,2011,J01000014,,,Households privately renting
15.233356571897891,Deccenial,2011,J01000014,,,Households socially renting
2.1182110762002084,Deccenial,2011,J01000014,,,Other households
58.113555526281125,Deccenial,2011,J01000015,,,Households owned
21.310323628858736,Deccenial,2011,J01000015,,,Households privately renting
18.55881965485443,Deccenial,2011,J01000015,,,Households socially renting
2.0173011900057087,Deccenial,2011,J01000015,,,Other households
63.77025874324709,Deccenial,2011,J01000016,,,Households owned
19.809496730167755,Deccenial,2011,J01000016,,,Households privately renting
14.822291725902758,Deccenial,2011,J01000016,,,Households socially renting
1.5979528006823995,Deccenial,2011,J01000016,,,Other households
65.13522427440634,Deccenial,2011,J01000017,,,Households owned
17.984828496042216,Deccenial,2011,J01000017,,,Households privately renting
15.316622691292874,Deccenial,2011,J01000017,,,Households socially renting
1.5633245382585752,Deccenial,2011,J01000017,,,Other households
70.09081983308786,Deccenial,2011,J01000018,,,Households owned
13.340697103583702,Deccenial,2011,J01000018,,,Households privately renting
14.78276877761414,Deccenial,2011,J01000018,,,Households socially renting
1.7857142857142856,Deccenial,2011,J01000018,,,Other households
49.90352190143004,Deccenial,2011,J01000019,,,Households owned
24.997745838818457,Deccenial,2011,J01000019,,,Households privately renting
22.128649486952913,Deccenial,2011,J01000019,,,Households socially renting
2.970082772798586,Deccenial,2011,J01000019,,,Other households
58.813487912598795,Deccenial,2011,J01000020,,,Households owned
21.822698744769873,Deccenial,2011,J01000020,,,Households privately renting
17.454091120409114,Deccenial,2011,J01000020,,,Households socially renting
1.9097222222222223,Deccenial,2011,J01000020,,,Other households
64.58934242344783,Deccenial,2011,J01000021,,,Households owned
15.147277335897211,Deccenial,2011,J01000021,,,Households privately renting
18.18605599743612,Deccenial,2011,J01000021,,,Households socially renting
2.0773242432188326,Deccenial,2011,J01000021,,,Other households
64.98414547337087,Deccenial,2011,J01000022,,,Households owned
18.30388921245066,Deccenial,2011,J01000022,,,Households privately renting
14.809422118682456,Deccenial,2011,J01000022,,,Households socially renting
1.9025431954960204,Deccenial,2011,J01000022,,,Other households
70.00649069666811,Deccenial,2011,J01000023,,,Households owned
13.18693206404154,Deccenial,2011,J01000023,,,Households privately renting
15.02812635222847,Deccenial,2011,J01000023,,,Households socially renting
1.778450887061878,Deccenial,2011,J01000023,,,Other households
64.54117968429884,Deccenial,2011,J01000024,,,Households owned
21.44348402957991,Deccenial,2011,J01000024,,,Households privately renting
12.216346998107355,Deccenial,2011,J01000024,,,Households socially renting
1.7989892880138925,Deccenial,2011,J01000024,,,Other households
61.49016324822101,Deccenial,2011,J01000025,,,Households owned
18.54332356634575,Deccenial,2011,J01000025,,,Households privately renting
17.925910422771032,Deccenial,2011,J01000025,,,Households socially renting
2.0406027626622016,Deccenial,2011,J01000025,,,Other households
64.45147418629365,Deccenial,2011,J01000026,,,Households owned
12.95998813731063,Deccenial,2011,J01000026,,,Households privately renting
21.221857005165212,Deccenial,2011,J01000026,,,Households socially renting
1.3666806712305068,Deccenial,2011,J01000026,,,Other households
60.38199018081667,Deccenial,2011,J01000027,,,Households owned
21.903564443380034,Deccenial,2011,J01000027,,,Households privately renting
16.227597493314175,Deccenial,2011,J01000027,,,Households socially renting
1.4868478824891231,Deccenial,2011,J01000027,,,Other households
60.93420193461194,Deccenial,2011,J01000028,,,Households owned
20.4941308672346,Deccenial,2011,J01000028,,,Households privately renting
16.785871562419327,Deccenial,2011,J01000028,,,Households socially renting
1.7857956357341351,Deccenial,2011,J01000028,,,Other households
58.94700058241118,Deccenial,2011,J01000029,,,Households owned
14.655794991263832,Deccenial,2011,J01000029,,,Households privately renting
23.829935934769946,Deccenial,2011,J01000029,,,Households socially renting
2.567268491555038,Deccenial,2011,J01000029,,,Other households
62.97449116066435,Deccenial,2011,J01000030,,,Households owned
18.957760863750213,Deccenial,2011,J01000030,,,Households privately renting
16.740023830946186,Deccenial,2011,J01000030,,,Households socially renting
1.327724144639253,Deccenial,2011,J01000030,,,Other households
61.940120446281156,Deccenial,2011,J01000031,,,Households owned
16.705956459910094,Deccenial,2011,J01000031,,,Households privately renting
19.363982553422986,Deccenial,2011,J01000031,,,Households socially renting
1.9899405403857717,Deccenial,2011,J01000031,,,Other households
62.21289848176824,Deccenial,2011,J01000032,,,Households owned
18.20796747264155,Deccenial,2011,J01000032,,,Households privately renting
17.56780137549202,Deccenial,2011,J01000032,,,Households socially renting
2.011332670098188,Deccenial,2011,J01000032,,,Other households
54.76741277979242,Deccenial,2011,J01000033,,,Households owned
12.085782168313118,Deccenial,2011,J01000033,,,Households privately renting
30.352007002625985,Deccenial,2011,J01000033,,,Households socially renting
2.7947980492684756,Deccenial,2011,J01000033,,,Other households
64.01740863517114,Deccenial,2011,J01000034,,,Households owned
22.049582070732747,Deccenial,2011,J01000034,,,Households privately renting
12.265359663216122,Deccenial,2011,J01000034,,,Households socially renting
1.6676496308799902,Deccenial,2011,J01000034,,,Other households
59.21625236164476,Deccenial,2011,J01000035,,,Households owned
21.17731971893774,Deccenial,2011,J01000035,,,Households privately renting
17.441144628186894,Deccenial,2011,J01000035,,,Households socially renting
2.165283291230603,Deccenial,2011,J01000035,,,Other households
51.40697652877865,Deccenial,2011,J01000036,,,Households owned
14.725551582964377,Deccenial,2011,J01000036,,,Households privately renting
32.541079268631556,Deccenial,2011,J01000036,,,Households socially renting
1.3263926196254237,Deccenial,2011,J01000036,,,Other households
68.96194854268454,Deccenial,2011,J01000037,,,Households owned
18.486606175840574,Deccenial,2011,J01000037,,,Households privately renting
10.881128306337096,Deccenial,2011,J01000037,,,Households socially renting
1.670316975137789,Deccenial,2011,J01000037,,,Other households
68.0367556105319,Deccenial,2011,J01000038,,,Households owned
16.801555045060965,Deccenial,2011,J01000038,,,Households privately renting
13.159568828414914,Deccenial,2011,J01000038,,,Households socially renting
2.002120515992225,Deccenial,2011,J01000038,,,Other households
60.421630581166475,Deccenial,2011,J01000039,,,Households owned
19.63120273490107,Deccenial,2011,J01000039,,,Households privately renting
18.53568838702994,Deccenial,2011,J01000039,,,Households socially renting
1.4114782969025175,Deccenial,2011,J01000039,,,Other households
63.063334337047074,Deccenial,2011,J01000040,,,Households owned
19.646023620730034,Deccenial,2011,J01000040,,,Households privately renting
14.446786443173073,Deccenial,2011,J01000040,,,Households socially renting
2.8438555990498178,Deccenial,2011,J01000040,,,Other households
60.712848982219,Deccenial,2011,J01000041,,,Households owned
18.21546383458042,Deccenial,2011,J01000041,,,Households privately renting
19.2184943814198,Deccenial,2011,J01000041,,,Households socially renting
1.8531928017807813,Deccenial,2011,J01000041,,,Other households
56.14976347063575,Deccenial,2011,J01000042,,,Households owned
10.857274720203069,Deccenial,2011,J01000042,,,Households privately renting
31.178608515057114,Deccenial,2011,J01000042,,,Households socially renting
1.8143532941040728,Deccenial,2011,J01000042,,,Other households
69.24123010353887,Deccenial,2011,J01000043,,,Households owned
19.32004326997373,Deccenial,2011,J01000043,,,Households privately renting
9.547210632050687,Deccenial,2011,J01000043,,,Households socially renting
1.8915159944367175,Deccenial,2011,J01000043,,,Other households
59.57136272852973,Deccenial,2011,J01000044,,,Households owned
14.879397756951912,Deccenial,2011,J01000044,,,Households privately renting
23.731243918676704,Deccenial,2011,J01000044,,,Households socially renting
1.8179955958416552,Deccenial,2011,J01000044,,,Other households
55.47819802457239,Deccenial,2011,J01000045,,,Households owned
28.629245964827753,Deccenial,2011,J01000045,,,Households privately renting
14.432666827270538,Deccenial,2011,J01000045,,,Households socially renting
1.4598891833293182,Deccenial,2011,J01000045,,,Other households
59.806731427701834,Deccenial,2011,J01000046,,,Households owned
12.202297917670633,Deccenial,2011,J01000046,,,Households privately renting
26.377862885839654,Deccenial,2011,J01000046,,,Households socially renting
1.6131077687878865,Deccenial,2011,J01000046,,,Other households
66.13705583756345,Deccenial,2011,J01000047,,,Households owned
16.604060913705585,Deccenial,2011,J01000047,,,Households privately renting
14.68020304568528,Deccenial,2011,J01000047,,,Households socially renting
2.5786802030456855,Deccenial,2011,J01000047,,,Other households
63.265069998842996,Deccenial,2011,J01000048,,,Households owned
18.762293185236608,Deccenial,2011,J01000048,,,Households privately renting
15.810482471364109,Deccenial,2011,J01000048,,,Households socially renting
2.162154344556288,Deccenial,2011,J01000048,,,Other households
58.67893812156477,Deccenial,2011,J01000049,,,Households owned
19.206653664512178,Deccenial,2011,J01000049,,,Households privately renting
20.380071243210136,Deccenial,2011,J01000049,,,Households socially renting
1.7343369707129157,Deccenial,2011,J01000049,,,Other households
52.849079478759364,Deccenial,2011,J01000050,,,Households owned
19.202884005491814,Deccenial,2011,J01000050,,,Households privately renting
26.074878160402733,Deccenial,2011,J01000050,,,Households socially renting
1.8731583553460889,Deccenial,2011,J01000050,,,Other households
48.66379632164456,Deccenial,2011,J01000051,,,Households owned
21.679898459470895,Deccenial,2011,J01000051,,,Households privately renting
27.599611756800478,Deccenial,2011,J01000051,,,Households socially renting
2.05669346208407,Deccenial,2011,J01000051,,,Other households
54.78912826950103,Deccenial,2011,J01000052,,,Households owned
20.8095127641866,Deccenial,2011,J01000052,,,Households privately renting
22.286501753284853,Deccenial,2011,J01000052,,,Households socially renting
2.1148572130275203,Deccenial,2011,J01000052,,,Other households
55.973848187311184,Deccenial,2011,J01000053,,,Households owned
20.961574773413897,Deccenial,2011,J01000053,,,Households privately renting
21.04182401812689,Deccenial,2011,J01000053,,,Households socially renting
2.022753021148036,Deccenial,2011,J01000053,,,Other households
49.69162014858302,Deccenial,2011,J01000054,,,Households owned
21.17472934308495,Deccenial,2011,J01000054,,,Households privately renting
27.311405931777145,Deccenial,2011,J01000054,,,Households socially renting
1.8222445765548858,Deccenial,2011,J01000054,,,Other households
48.22138095923669,Deccenial,2011,J01000055,,,Households owned
25.157229221809178,Deccenial,2011,J01000055,,,Households privately renting
24.019093921618573,Deccenial,2011,J01000055,,,Households socially renting
2.602295897335563,Deccenial,2011,J01000055,,,Other households
61.11254550618368,Deccenial,2011,J01000056,,,Households owned
22.20830859001833,Deccenial,2011,J01000056,,,Households privately renting
15.242312359608581,Deccenial,2011,J01000056,,,Households socially renting
1.4368335441894091,Deccenial,2011,J01000056,,,Other households
67.26301010009512,Deccenial,2011,J01000057,,,Households owned
15.870283980252728,Deccenial,2011,J01000057,,,Households privately renting
14.708546582725667,Deccenial,2011,J01000057,,,Households socially renting
2.1581593369264915,Deccenial,2011,J01000057,,,Other households
41.16703419196937,Deccenial,2011,J01000058,,,Households owned
28.88312695374028,Deccenial,2011,J01000058,,,Households privately renting
27.716092761770906,Deccenial,2011,J01000058,,,Households socially renting
2.233746092519447,Deccenial,2011,J01000058,,,Other households
66.22577852088496,Deccenial,2011,J01000059,,,Households owned
14.301495834950586,Deccenial,2011,J01000059,,,Households privately renting
18.10527572925686,Deccenial,2011,J01000059,,,Households socially renting
1.3674499149075927,Deccenial,2011,J01000059,,,Other households
57.7929434245547,Deccenial,2011,J01000060,,,Households owned
15.03855865693032,Deccenial,2011,J01000060,,,Households privately renting
25.071998908073432,Deccenial,2011,J01000060,,,Households socially renting
2.0964990104415477,Deccenial,2011,J01000060,,,Other households
52.927036832440024,Deccenial,2011,J01000061,,,Households owned
18.961166932919273,Deccenial,2011,J01000061,,,Households privately renting
19.395631466579076,Deccenial,2011,J01000061,,,Households socially renting
8.716164768061631,Deccenial,2011,J01000061,,,Other households
49.20517064006798,Deccenial,2011,J01000062,,,Households owned
19.507089502169343,Deccenial,2011,J01000062,,,Households privately renting
29.529901149528108,Deccenial,2011,J01000062,,,Households socially renting
1.7578387082345577,Deccenial,2011,J01000062,,,Other households
65.2503472851362,Deccenial,2011,J01000063,,,Households owned
11.191640997765296,Deccenial,2011,J01000063,,,Households privately renting
21.764208491876545,Deccenial,2011,J01000063,,,Households socially renting
1.7938032252219607,Deccenial,2011,J01000063,,,Other households
62.27490439238109,Deccenial,2011,J01000064,,,Households owned
14.513793487543165,Deccenial,2011,J01000064,,,Households privately renting
21.169197638584635,Deccenial,2011,J01000064,,,Households socially renting
2.0421044814911076,Deccenial,2011,J01000064,,,Other households
62.925631223328594,Deccenial,2011,J01000065,,,Households owned
17.693145448079658,Deccenial,2011,J01000065,,,Households privately renting
16.92967638691323,Deccenial,2011,J01000065,,,Households socially renting
2.4515469416785205,Deccenial,2011,J01000065,,,Other households
54.22942258619666,Deccenial,2011,J01000066,,,Households owned
18.053527980535282,Deccenial,2011,J01000066,,,Households privately renting
25.986588333036615,Deccenial,2011,J01000066,,,Households socially renting
1.7304611002314403,Deccenial,2011,J01000066,,,Other households
44.85776805251641,Deccenial,2011,J01000067,,,Households owned
23.97912809291365,Deccenial,2011,J01000067,,,Households privately renting
29.162598889075912,Deccenial,2011,J01000067,,,Households socially renting
2.0005049654940246,Deccenial,2011,J01000067,,,Other households
69.80939226519337,Deccenial,2011,J01000068,,,Households owned
13.613259668508288,Deccenial,2011,J01000068,,,Households privately renting
15.074585635359117,Deccenial,2011,J01000068,,,Households socially renting
1.5027624309392265,Deccenial,2011,J01000068,,,Other households
54.47911547911548,Deccenial,2011,J01000069,,,Households owned
14.036855036855037,Deccenial,2011,J01000069,,,Households privately renting
29.37837837837838,Deccenial,2011,J01000069,,,Households socially renting
2.1056511056511056,Deccenial,2011,J01000069,,,Other households
48.74991484433544,Deccenial,2011,J01000070,,,Households owned
27.21575039171606,Deccenial,2011,J01000070,,,Households privately renting
20.488452891886368,Deccenial,2011,J01000070,,,Households socially renting
3.5458818720621297,Deccenial,2011,J01000070,,,Other households
57.56433245972995,Deccenial,2011,J01000071,,,Households owned
19.663739329011296,Deccenial,2011,J01000071,,,Households privately renting
20.768770977975997,Deccenial,2011,J01000071,,,Households socially renting
2.003157233282756,Deccenial,2011,J01000071,,,Other households
58.94034359922442,Deccenial,2011,J01000072,,,Households owned
20.126256932858368,Deccenial,2011,J01000072,,,Households privately renting
19.065698696848084,Deccenial,2011,J01000072,,,Households socially renting
1.8677007710691258,Deccenial,2011,J01000072,,,Other households
70.64858207161741,Deccenial,2011,J01000073,,,Households owned
15.989245373708243,Deccenial,2011,J01000073,,,Households privately renting
11.448570055275175,Deccenial,2011,J01000073,,,Households socially renting
1.9136024993991827,Deccenial,2011,J01000073,,,Other households
56.96556374948335,Deccenial,2011,J01000074,,,Households owned
23.429920163588505,Deccenial,2011,J01000074,,,Households privately renting
17.50745067327982,Deccenial,2011,J01000074,,,Households socially renting
2.097065413648328,Deccenial,2011,J01000074,,,Other households
59.04511686899801,Deccenial,2011,J01000075,,,Households owned
18.425439391194057,Deccenial,2011,J01000075,,,Households privately renting
20.362384489943828,Deccenial,2011,J01000075,,,Households socially renting
2.167059249864106,Deccenial,2011,J01000075,,,Other households
64.49778123943143,Deccenial,2011,J01000076,,,Households owned
20.40849790421923,Deccenial,2011,J01000076,,,Households privately renting
12.751980487204975,Deccenial,2011,J01000076,,,Households socially renting
2.341740369144368,Deccenial,2011,J01000076,,,Other households
65.37676400106506,Deccenial,2011,J01000077,,,Households owned
11.579539066891511,Deccenial,2011,J01000077,,,Households privately renting
21.61770361823615,Deccenial,2011,J01000077,,,Households socially renting
1.4259933138072838,Deccenial,2011,J01000077,,,Other households
59.20182657089854,Deccenial,2011,J01000078,,,Households owned
14.070303952813584,Deccenial,2011,J01000078,,,Households privately renting
24.81329971935499,Deccenial,2011,J01000078,,,Households socially renting
1.914569756932883,Deccenial,2011,J01000078,,,Other households
59.78912053678409,Deccenial,2011,J01000079,,,Households owned
11.798793107204322,Deccenial,2011,J01000079,,,Households privately renting
26.21615144979631,Deccenial,2011,J01000079,,,Households socially renting
2.19593490621528,Deccenial,2011,J01000079,,,Other households
33.549967762733715,Deccenial,2011,J01000080,,,Households owned
28.569954867827207,Deccenial,2011,J01000080,,,Households privately renting
35.29335912314636,Deccenial,2011,J01000080,,,Households socially renting
2.5867182462927145,Deccenial,2011,J01000080,,,Other households
63.00265695435412,Deccenial,2011,J01000081,,,Households owned
14.783413440009552,Deccenial,2011,J01000081,,,Households privately renting
20.65558109681464,Deccenial,2011,J01000081,,,Households socially renting
1.5583485088216855,Deccenial,2011,J01000081,,,Other households
57.060884861853765,Deccenial,2011,J01000082,,,Households owned
16.143819137103794,Deccenial,2011,J01000082,,,Households privately renting
25.414997137950774,Deccenial,2011,J01000082,,,Households socially renting
1.3802988630916648,Deccenial,2011,J01000082,,,Other households
66.69985546812269,Deccenial,2011,J01000083,,,Households owned
15.35249718965794,Deccenial,2011,J01000083,,,Households privately renting
16.10727477115786,Deccenial,2011,J01000083,,,Households socially renting
1.8403725710615062,Deccenial,2011,J01000083,,,Other households
54.698185044172554,Deccenial,2011,J01000084,,,Households owned
22.6629209329834,Deccenial,2011,J01000084,,,Households privately renting
20.363730455032712,Deccenial,2011,J01000084,,,Households socially renting
2.275163567811333,Deccenial,2011,J01000084,,,Other households
80.05280956131004,Deccenial,2011,J01000085,,,Households owned
10.682355121137723,Deccenial,2011,J01000085,,,Households privately renting
7.981655626071246,Deccenial,2011,J01000085,,,Households socially renting
1.2831796914809839,Deccenial,2011,J01000085,,,Other households
54.52188193263995,Deccenial,2011,J01000086,,,Households owned
12.362787749575038,Deccenial,2011,J01000086,,,Households privately renting
31.53360799792561,Deccenial,2011,J01000086,,,Households socially renting
1.5817223198594026,Deccenial,2011,J01000086,,,Other households
51.7797816801139,Deccenial,2011,J01000087,,,Households owned
23.964878974845753,Deccenial,2011,J01000087,,,Households privately renting
22.186046511627907,Deccenial,2011,J01000087,,,Households socially renting
2.069292833412435,Deccenial,2011,J01000087,,,Other households
65.41964392242122,Deccenial,2011,J01000088,,,Households owned
21.86045895032678,Deccenial,2011,J01000088,,,Households privately renting
11.410125541871595,Deccenial,2011,J01000088,,,Households socially renting
1.3097715853804037,Deccenial,2011,J01000088,,,Other households
72.66435986159169,Deccenial,2011,J01000089,,,Households owned
18.596144340088976,Deccenial,2011,J01000089,,,Households privately renting
6.9278299555116165,Deccenial,2011,J01000089,,,Households socially renting
1.8116658428077113,Deccenial,2011,J01000089,,,Other households
68.5078866259745,Deccenial,2011,J01000090,,,Households owned
15.824620777180154,Deccenial,2011,J01000090,,,Households privately renting
14.078080618843295,Deccenial,2011,J01000090,,,Households socially renting
1.5894119780020546,Deccenial,2011,J01000090,,,Other households
62.40705593390644,Deccenial,2011,J01000091,,,Households owned
11.492687283688735,Deccenial,2011,J01000091,,,Households privately renting
24.14647761527297,Deccenial,2011,J01000091,,,Households socially renting
1.953779167131852,Deccenial,2011,J01000091,,,Other households
59.2094605540256,Deccenial,2011,J01000092,,,Households owned
11.539499973000703,Deccenial,2011,J01000092,,,Households privately renting
27.163993736162862,Deccenial,2011,J01000092,,,Households socially renting
2.087045736810843,Deccenial,2011,J01000092,,,Other households
66.00994726235905,Deccenial,2011,J01000093,,,Households owned
14.738669982420785,Deccenial,2011,J01000093,,,Households privately renting
17.341251125498435,Deccenial,2011,J01000093,,,Households socially renting
1.9101316297217337,Deccenial,2011,J01000093,,,Other households
63.64338424575253,Deccenial,2011,J01000094,,,Households owned
13.852182369429666,Deccenial,2011,J01000094,,,Households privately renting
21.200160173903097,Deccenial,2011,J01000094,,,Households socially renting
1.3042732109147075,Deccenial,2011,J01000094,,,Other households
61.738572162300976,Deccenial,2011,J01000095,,,Households owned
13.713405238828969,Deccenial,2011,J01000095,,,Households privately renting
22.574045540147235,Deccenial,2011,J01000095,,,Households socially renting
1.9739770587228214,Deccenial,2011,J01000095,,,Other households
57.39067724382089,Deccenial,2011,J01000096,,,Households owned
13.997246443322625,Deccenial,2011,J01000096,,,Households privately renting
27.51458729430276,Deccenial,2011,J01000096,,,Households socially renting
1.0974890185537272,Deccenial,2011,J01000096,,,Other households
81.00690018898607,Deccenial,2011,J01000097,,,Households owned
9.932756120072078,Deccenial,2011,J01000097,,,Households privately renting
7.464949676965675,Deccenial,2011,J01000097,,,Households socially renting
1.5953940139761789,Deccenial,2011,J01000097,,,Other households
59.48745423698545,Deccenial,2011,J01000098,,,Households owned
16.58438891227533,Deccenial,2011,J01000098,,,Households privately renting
21.809345222149936,Deccenial,2011,J01000098,,,Households socially renting
2.1188116285892873,Deccenial,2011,J01000098,,,Other households
64.3495145631068,Deccenial,2011,J01000099,,,Households owned
16.854368932038835,Deccenial,2011,J01000099,,,Households privately renting
16.67443365695793,Deccenial,2011,J01000099,,,Households socially renting
2.1216828478964405,Deccenial,2011,J01000099,,,Other households
62.06703715354235,Deccenial,2011,J01000100,,,Households owned
15.228408654014192,Deccenial,2011,J01000100,,,Households privately renting
21.116004333997413,Deccenial,2011,J01000100,,,Households socially renting
1.5885498584460522,Deccenial,2011,J01000100,,,Other households
60.84976880249127,Deccenial,2011,J01000101,,,Households owned
12.902236482023213,Deccenial,2011,J01000101,,,Households privately renting
24.733415117486082,Deccenial,2011,J01000101,,,Households socially renting
1.5145795979994336,Deccenial,2011,J01000101,,,Other households
55.602402450180975,Deccenial,2011,J01000102,,,Households owned
17.982578258621377,Deccenial,2011,J01000102,,,Households privately renting
24.271110934330377,Deccenial,2011,J01000102,,,Households socially renting
2.1439083568672688,Deccenial,2011,J01000102,,,Other households
69.3844844702879,Deccenial,2011,J01000103,,,Households owned
11.613955467309601,Deccenial,2011,J01000103,,,Households privately renting
17.345057438661183,Deccenial,2011,J01000103,,,Households socially renting
1.6565026237413134,Deccenial,2011,J01000103,,,Other households
64.0811678614098,Deccenial,2011,J01000104,,,Households owned
16.530391278375152,Deccenial,2011,J01000104,,,Households privately renting
17.59819295101553,Deccenial,2011,J01000104,,,Households socially renting
1.790247909199522,Deccenial,2011,J01000104,,,Other households
51.14498479180506,Deccenial,2011,J01000105,,,Households owned
12.075656399678355,Deccenial,2011,J01000105,,,Households privately renting
33.90553438450512,Deccenial,2011,J01000105,,,Households socially renting
2.8738244240114676,Deccenial,2011,J01000105,,,Other households
64.09136893669134,Deccenial,2011,J01000106,,,Households owned
22.83690964272403,Deccenial,2011,J01000106,,,Households privately renting
11.375858580480273,Deccenial,2011,J01000106,,,Households socially renting
1.6958628401043607,Deccenial,2011,J01000106,,,Other households
63.36826185589284,Deccenial,2011,J01000107,,,Households owned
11.826185589283785,Deccenial,2011,J01000107,,,Households privately renting
23.158150588743652,Deccenial,2011,J01000107,,,Households socially renting
1.6474019660797237,Deccenial,2011,J01000107,,,Other households
71.21253918495299,Deccenial,2011,J01000108,,,Households owned
15.380564263322885,Deccenial,2011,J01000108,,,Households privately renting
11.553605015673982,Deccenial,2011,J01000108,,,Households socially renting
1.8532915360501567,Deccenial,2011,J01000108,,,Other households
59.02177185751217,Deccenial,2011,J01000109,,,Households owned
13.337209423050966,Deccenial,2011,J01000109,,,Households privately renting
25.503286024274015,Deccenial,2011,J01000109,,,Households socially renting
2.1377326951628475,Deccenial,2011,J01000109,,,Other households
64.6640371883364,Deccenial,2011,J01000110,,,Households owned
18.10583650279382,Deccenial,2011,J01000110,,,Households privately renting
15.140630135699865,Deccenial,2011,J01000110,,,Households socially renting
2.0894961731699304,Deccenial,2011,J01000110,,,Other households
70.25776334483459,Deccenial,2011,J01000111,,,Households owned
18.832961234016643,Deccenial,2011,J01000111,,,Households privately renting
9.59407347270144,Deccenial,2011,J01000111,,,Households socially renting
1.315201948447331,Deccenial,2011,J01000111,,,Other households
60.57501499838479,Deccenial,2011,J01000112,,,Households owned
20.811604904087254,Deccenial,2011,J01000112,,,Households privately renting
16.468995646622673,Deccenial,2011,J01000112,,,Households socially renting
2.1443844509052874,Deccenial,2011,J01000112,,,Other households
